Date,Open,High,Low,Close,Volume
2023-05-05,41.8,43.06,41.02,42.6,439749
2023-05-04,39.3,41.5,39.3,41.34,472883
2023-05-02,40.0,40.12,39.26,39.26,120770
2023-04-28,39.9,40.78,39.42,40.0,308487
2023-04-27,38.78,41.12,37.8,39.94,1563385
2023-04-26,35.5,35.7,34.88,35.26,157772
2023-04-25,35.32,35.88,34.82,35.52,127214
2023-04-24,35.54,35.8,34.88,35.06,137941
2023-04-21,36.7,36.78,35.28,35.8,276626
2023-04-20,37.78,37.78,36.22,36.42,191857
2023-04-19,35.96,37.8,35.62,37.76,428456
2023-04-18,35.64,36.24,35.5,35.88,113121
2023-04-17,36.28,36.28,35.16,35.6,188114
2023-04-14,36.4,36.66,36.0,36.28,193631
2023-04-13,35.4,36.5,35.02,36.36,544527
2023-04-12,33.22,35.42,33.1,35.42,617277
2023-04-11,32.9,33.26,32.56,32.96,442305
2023-04-06,33.0,33.24,32.42,32.54,159959
2023-04-05,33.26,33.86,32.5,32.94,555114
2023-04-04,32.3,33.2,32.04,33.2,153605
2023-04-03,31.7,32.34,31.5,32.3,216214
2023-03-31,31.8,32.32,31.1,31.7,234789
2023-03-30,31.7,32.48,31.66,31.8,201422
2023-03-29,33.4,33.4,31.56,31.7,292420
2023-03-28,32.88,33.48,32.7,33.3,232081
2023-03-27,33.4,33.82,32.66,32.84,108592
2023-03-24,33.2,33.64,32.2,33.62,221388
2023-03-23,34.92,35.66,33.16,33.2,359925
2023-03-22,34.72,35.66,34.3,34.9,209142
2023-03-21,33.7,34.84,33.32,34.62,278868
2023-03-20,33.0,33.74,31.8,33.44,174249
2023-03-17,33.62,33.9,32.38,32.9,157172
2023-03-16,33.9,34.36,32.12,33.22,308631
2023-03-15,34.92,34.94,33.6,33.82,160375
2023-03-14,35.12,35.44,34.08,34.52,174885
2023-03-13,35.84,36.14,34.1,35.12,387848
2023-03-10,35.3,36.06,35.02,35.78,183559
2023-03-09,36.28,36.46,35.22,35.3,173426
2023-03-08,35.04,36.9,34.72,36.16,420996
2023-03-07,35.0,35.24,34.52,35.02,133674
2023-03-06,35.0,35.0,34.46,35.0,121953
2023-03-03,33.6,35.28,33.6,34.86,185688
2023-03-02,33.5,34.02,33.16,33.74,81707
2023-03-01,33.02,34.9,32.98,33.64,309940
